4.98914e-05 1.74668 -19.0253 6.79166 -0.420658 0.597319 -0.37661 
4.98914e-05 1.70056 -19.0035 6.83187 -0.305732 0.958783 -0.149375 
4.98914e-05 1.77301 -19.013 6.80016 -0.226915 0.402915 -0.187241 
4.98914e-05 1.81599 -19.0531 6.82844 -0.456958 0.639559 -0.435593 
4.98914e-05 1.76612 -19.0548 6.83716 -0.695444 0.931998 -0.759405 
4.98914e-05 1.76562 -19.0317 6.84715 -0.483433 0.362284 -0.433775 
4.98914e-05 1.69742 -19.0138 6.73435 -0.443397 0.535203 -0.415921 
4.98914e-05 1.74097 -19.0844 6.75588 -0.737709 0.845112 -0.827197 
4.98914e-05 1.70505 -19.0661 6.82502 -0.572025 1.37572 -0.16096 
4.98914e-05 1.76395 -19.1034 6.80479 -0.773282 0.381192 -0.298558 
